"var_idx","mp_freq","cd_freq","cl_freq","job_id"
22,0.22,0.2,0.2,29
23,0.42,0.32,0.34,29
24,0.24,0.26,0.22,29
25,0.16,0.16,0.18,29
26,0.2,0.18,0.3,29
27,0.24,0.22,0.2,29
28,0.26,0.2,0.26,29
29,0.28,0.28,0.28,29
30,0.28,0.24,0.24,29
31,0.22,0.22,0.26,29
32,0.26,0.16,0.18,29
33,0.18,0.2,0.22,29
34,0.24,0.2,0.22,29
35,0.16,0.1,0.22,29
36,0.32,0.26,0.34,29
37,0.36,0.2,0.32,29
38,0.22,0.18,0.28,29
39,0.36,0.18,0.32,29
40,0.1,0.1,0.1,29
41,0.2,0.18,0.22,29
42,0.24,0.12,0.24,29
43,0.28,0.24,0.24,29
44,0.18,0.12,0.18,29
45,0.28,0.3,0.3,29
46,0.22,0.22,0.18,29
47,0.22,0.26,0.2,29
48,0.2,0.16,0.16,29
49,0.22,0.18,0.18,29
50,0.14,0.18,0.18,29
1,0.98,0.94,0.88,30
2,0.96,0.88,0.84,30
3,0.92,0.9,0.86,30
4,0.98,1,0.94,30
5,0.94,0.92,0.9,30
6,0.96,0.92,0.92,30
7,0.94,0.98,0.86,30
8,0.24,0.22,0.3,30
9,0.3,0.18,0.24,30
10,0.32,0.22,0.3,30
11,0.2,0.22,0.14,30
12,0.28,0.12,0.28,30
13,0.2,0.16,0.18,30
14,0.16,0.14,0.22,30
15,0.28,0.22,0.24,30
16,0.18,0.26,0.22,30
17,0.22,0.18,0.24,30
18,0.22,0.16,0.2,30
19,0.18,0.12,0.14,30
20,0.26,0.24,0.22,30
21,0.16,0.26,0.16,30
22,0.2,0.16,0.2,30
23,0.4,0.32,0.34,30
24,0.24,0.22,0.22,30
25,0.14,0.16,0.2,30
26,0.2,0.14,0.28,30
27,0.24,0.22,0.2,30
28,0.3,0.22,0.26,30
29,0.26,0.26,0.28,30
30,0.26,0.24,0.24,30
31,0.22,0.2,0.26,30
32,0.24,0.16,0.2,30
33,0.18,0.24,0.22,30
34,0.22,0.2,0.22,30
35,0.18,0.1,0.24,30
36,0.32,0.24,0.32,30
37,0.36,0.18,0.3,30
38,0.22,0.18,0.24,30
39,0.36,0.18,0.3,30
40,0.1,0.08,0.12,30
41,0.2,0.18,0.22,30
42,0.24,0.12,0.24,30
43,0.24,0.24,0.22,30
44,0.18,0.1,0.16,30
45,0.26,0.28,0.32,30
46,0.22,0.22,0.18,30
47,0.22,0.24,0.2,30
48,0.2,0.16,0.18,30
49,0.24,0.18,0.16,30
50,0.14,0.18,0.2,30
1,0.98,0.94,0.92,31
2,0.98,0.92,0.94,31
3,0.92,0.9,0.88,31
4,0.96,0.96,0.98,31
5,0.98,0.92,0.88,31
6,0.92,0.9,0.88,31
7,0.9,0.88,0.78,31
8,0.18,0.24,0.22,31
9,0.24,0.2,0.22,31
10,0.2,0.26,0.28,31
11,0.18,0.24,0.3,31
12,0.16,0.14,0.18,31
13,0.16,0.2,0.26,31
14,0.12,0.12,0.12,31
15,0.2,0.12,0.22,31
16,0.18,0.16,0.24,31
17,0.1,0.18,0.2,31
18,0.16,0.12,0.16,31
19,0.2,0.28,0.32,31
20,0.12,0.1,0.14,31
21,0.14,0.22,0.2,31
22,0.14,0.16,0.24,31
23,0.2,0.26,0.22,31
24,0.18,0.26,0.18,31
25,0.1,0.12,0.14,31
26,0.16,0.22,0.2,31
27,0.12,0.18,0.16,31
28,0.2,0.3,0.2,31
29,0.16,0.22,0.22,31
30,0.26,0.24,0.24,31
31,0.06,0.2,0.16,31
32,0.1,0.2,0.14,31
33,0.14,0.2,0.18,31
34,0.22,0.2,0.28,31
35,0.14,0.14,0.1,31
36,0.18,0.2,0.18,31
37,0.12,0.2,0.2,31
38,0.18,0.18,0.18,31
39,0.34,0.38,0.34,31
40,0.12,0.16,0.1,31
41,0.16,0.2,0.24,31
42,0.18,0.18,0.26,31
43,0.12,0.14,0.08,31
44,0.18,0.16,0.3,31
45,0.16,0.26,0.2,31
46,0.08,0.2,0.2,31
47,0.2,0.22,0.26,31
48,0.1,0.14,0.14,31
49,0.12,0.12,0.12,31
50,0.22,0.14,0.38,31
1,0.98,0.94,0.9,32
2,0.98,0.94,0.94,32
3,0.94,0.88,0.88,32
4,0.96,0.94,0.96,32
5,0.98,0.94,0.9,32
6,0.92,0.9,0.86,32
7,0.9,0.88,0.8,32
8,0.38,0.24,0.2,32
9,0.36,0.18,0.3,32
10,0.32,0.22,0.22,32
11,0.18,0.24,0.3,32
12,0.12,0.14,0.14,32
13,0.16,0.2,0.28,32
14,0.06,0.12,0.14,32
15,0.16,0.14,0.2,32
16,0.16,0.18,0.2,32
17,0.12,0.16,0.16,32
18,0.12,0.12,0.16,32
19,0.2,0.22,0.3,32
20,0.12,0.12,0.14,32
21,0.16,0.22,0.2,32
22,0.12,0.16,0.22,32
23,0.2,0.2,0.24,32
24,0.2,0.28,0.2,32
25,0.08,0.18,0.14,32
26,0.18,0.2,0.2,32
27,0.12,0.16,0.18,32
28,0.2,0.3,0.22,32
29,0.16,0.24,0.2,32
30,0.24,0.24,0.22,32
31,0.06,0.18,0.14,32
32,0.12,0.2,0.14,32
33,0.14,0.22,0.16,32
34,0.26,0.22,0.28,32
35,0.12,0.16,0.1,32
36,0.2,0.22,0.18,32
37,0.12,0.22,0.22,32
38,0.16,0.16,0.16,32
39,0.3,0.38,0.3,32
40,0.08,0.16,0.12,32
41,0.14,0.22,0.24,32
42,0.16,0.18,0.22,32
